aparc.a2009s_area,aparc.a2009s_thickness,aparc.a2009s_volume,aparc.DKTatlas_area,aparc.DKTatlas_thickness,aparc.DKTatlas_volume,aparc_area,aparc_thickness,aparc_volume,new_altas
lh_S_oc-temp_med_and_Lingual_area,lh_S_oc-temp_med_and_Lingual_thickness,lh_S_oc-temp_med_and_Lingual_volume,,,,,,,lh_precuneus_thickness
rh_G&S_frontomargin_area,rh_G&S_frontomargin_thickness,rh_G&S_frontomargin_volume,,,,,,,lh_rostralanteriorcingulate_thickness
rh_G&S_occipital_inf_area,rh_G&S_occipital_inf_thickness,rh_G&S_occipital_inf_volume,,,,,,,lh_rostralmiddlefrontal_thickness
rh_G&S_paracentral_area,rh_G&S_paracentral_thickness,rh_G&S_paracentral_volume,,,,,,,lh_superiorfrontal_thickness
rh_G&S_subcentral_area,rh_G&S_subcentral_thickness,rh_G&S_subcentral_volume,,,,,,,lh_superiorparietal_thickness
rh_G&S_transv_frontopol_area,rh_G&S_transv_frontopol_thickness,rh_G&S_transv_frontopol_volume,,,,,,,lh_superiortemporal_thickness
rh_G&S_cingul-Ant_area,rh_G&S_cingul-Ant_thickness,rh_G&S_cingul-Ant_volume,,,,,,,lh_supramarginal_thickness
rh_G&S_cingul-Mid-Ant_area,rh_G&S_cingul-Mid-Ant_thickness,rh_G&S_cingul-Mid-Ant_volume,,,,,,,lh_frontalpole_thickness
rh_G&S_cingul-Mid-Post_area,rh_G&S_cingul-Mid-Post_thickness,rh_G&S_cingul-Mid-Post_volume,,,,,,,lh_temporalpole_thickness
rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-dorsal_thickness,rh_G_cingul-Post-dorsal_volume,,,,,,,lh_transversetemporal_thickness
rh_G_cingul-Post-ventral_area,rh_G_cingul-Post-ventral_thickness,rh_G_cingul-Post-ventral_volume,,,,,,,lh_insula_thickness
rh_G_cuneus_area,rh_G_cuneus_thickness,rh_G_cuneus_volume,,,,,,,rh_bankssts_thickness
rh_G_front_inf-Opercular_area,rh_G_front_inf-Opercular_thickness,rh_G_front_inf-Opercular_volume,,,,,,,rh_caudalanteriorcingulate_thickness
rh_G_front_inf-Orbital_area,rh_G_front_inf-Orbital_thickness,rh_G_front_inf-Orbital_volume,,,,,,,rh_caudalmiddlefrontal_thickness
